Survey ResponseID,frequency,monetary,avg_order_value,total_quantity,recency_days,tenure_days,avg_inter_purchase_days,category_diversity,category_entropy,spend_trend_ratio,future_6m_spend
R_2yk35dfVrxtTCuf,9,432.24,48.03,9.0,108.0,72.0,10.29,8,2.9477,0.0,23.8
R_2ylSbd8k18avYSm,87,1491.38,17.14,93.0,4.0,176.0,3.26,53,5.2011,0.6595,797.61
R_2yme87wMCEU528h,12,288.48,24.04,12.0,37.0,143.0,17.88,9,3.0221,0.1511,449.01
R_2ymfqbLW0tRc3no,11,379.45,34.5,11.0,27.0,153.0,30.6,9,3.0958,1.8564,708.64
R_2ypE6JHF6y85DwX,26,660.15,25.39,26.0,4.0,176.0,16.0,21,4.2868,3.7187,2114.46
R_2yplkUxhAWZaFUL,60,1061.18,17.69,65.0,5.0,175.0,7.0,29,4.3396,0.7156,2154.06
R_2yq5wu0zOhPN1Vj,4,53.72,13.43,4.0,40.0,140.0,46.67,4,2.0,0.2572,40.87
R_2yqk9HbGBdHIe2M,1,66.79,66.79,1.0,180.0,0.0,180.0,1,-0.0,0.0,212.26
R_2ysGPQkluBNjsAX,5,107.33,21.47,5.0,55.0,125.0,41.67,5,2.3219,0.3944,630.48
R_2z5SzAhTBlLEuu2,5,85.99,17.2,5.0,19.0,161.0,80.5,3,1.371,0.1314,24.99
R_2z6ASEYEd1PP5Hu,10,281.59,28.16,12.0,65.0,115.0,57.5,7,2.7219,0.7198,201.6
R_2z6CfD8uNaRHIj6,16,224.55,14.03,18.0,34.0,146.0,20.86,13,3.5778,5.9114,379.54
R_2z6HVYTxer7XO12,2,34.38,17.19,2.0,178.0,2.0,2.0,2,1.0,0.0,0.0
R_2z6LiVVvQldVrWh,62,1190.86,19.21,69.0,2.0,178.0,5.93,26,3.745,0.8008,473.58
R_2z6pmWToR0TLYk2,24,603.95,25.16,24.0,18.0,162.0,13.5,20,4.2516,1.3667,53.97
R_2z7rLZb69WuqDdf,134,2594.27,19.36,136.0,1.0,179.0,3.03,82,5.9877,2.8164,4224.61
R_2z8yiBMflqyv62J,4,77.58,19.4,4.0,31.0,149.0,74.5,3,1.5,0.4188,331.86
R_2z92A8GULLlSeMS,11,413.15,37.56,11.0,16.0,164.0,27.33,6,2.4817,2.4663,1036.97
R_2zA3rxZzRWZ8ufq,10,113.63,11.36,10.0,5.0,175.0,43.75,10,3.3219,2.6478,136.2
R_2zAOD6IbPzXuthy,6,150.0,25.0,6.0,152.0,28.0,5.6,1,-0.0,0.0,0.0
R_2zARigFdY655hAS,5,57.85,11.57,5.0,39.0,141.0,35.25,5,2.3219,0.0923,240.26
R_2zC8AbBh1e5CVcK,9,200.53,22.28,9.0,53.0,127.0,42.33,8,2.9477,1.3253,294.75
R_2zCmQhJtrw3xBtV,32,631.08,19.72,32.0,12.0,168.0,12.92,25,4.5153,0.6501,68.63
R_2zD58KSXqhHfp5e,17,387.69,22.81,17.0,11.0,169.0,14.08,15,3.8522,0.1617,749.17
R_2zFOAC54lD4z6uu,17,781.93,46.0,17.0,7.0,173.0,24.71,13,3.5725,1.7875,818.91
R_2zGs5827faHHXFy,5,104.29,20.86,5.0,54.0,126.0,31.5,5,2.3219,0.6308,167.87
R_2zGy2Qj3ENruAYs,24,363.64,15.15,27.0,9.0,171.0,14.25,18,4.0016,2.3903,348.19
R_2zMAiLMp7ySjdto,22,579.52,26.34,22.0,15.0,165.0,9.17,18,4.0615,0.6111,363.7
R_2zMUSIO7EjyAEVO,18,309.18,17.18,19.0,55.0,125.0,10.42,9,2.5724,0.3153,266.11
R_2zMhh48pxUCJZoH,66,1328.91,20.14,73.0,3.0,177.0,8.05,44,5.0061,0.4984,1495.07
R_2zNpJuWE3ykIlGh,10,127.35,12.73,10.0,12.0,168.0,56.0,8,2.9219,1.1025,137.43
R_2zRSCnBFbSgJpKM,13,247.47,19.04,13.0,11.0,169.0,24.14,12,3.5466,7.8005,863.81
R_2zSlTKG9lhZH3r9,19,524.76,27.62,22.0,2.0,178.0,13.69,13,3.5369,0.7277,375.70000000000005
R_2zTPKZY5tEQjsWK,10,147.82,14.78,10.0,91.0,89.0,29.67,7,2.6464,0.0,1246.29
R_2zUBXlqUCKqKDVI,14,478.69,34.19,14.0,27.0,153.0,21.86,8,2.5567,4.4458,248.01000000000002
R_2zYiVYVYRWyKzRl,1,31.04,31.04,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_2zYlXrEjCOJLRDn,7,305.73,43.68,7.0,3.0,177.0,44.25,7,2.8074,2.9597,138.56
R_2zZ7CfEvq7LOq8p,16,220.85,13.8,16.0,25.0,155.0,17.22,12,3.4056,1.2969,212.88
R_2zZILpCYQulMji3,5,234.02,46.8,5.0,25.0,155.0,77.5,4,1.9219,0.1975,0.0
R_2zZmPKa2kMT70qa,20,228.03,11.4,20.0,7.0,173.0,11.53,12,3.2087,0.73,157.46
R_2zbtlm4SjXPnwlE,11,308.89,28.08,11.0,8.0,172.0,19.11,8,2.8454,0.8334,179.35
R_2zd20eKHRd12Xxg,16,336.82,21.05,16.0,1.0,179.0,13.77,15,3.875,6.327,228.07
R_2ze9t15YGQDJxR3,66,1485.4,22.51,68.0,2.0,178.0,5.24,41,4.9916,0.6482,905.21
R_2zeSozQQvO6m4Fm,8,104.69,13.09,8.0,152.0,28.0,14.0,7,2.75,0.0,233.7
R_2zeg77xLv8vJ8zA,44,323.3,7.35,44.0,1.0,179.0,8.14,9,1.8978,2.7611,2071.48
R_2zejCqxwLOr7Mrm,7,213.59,30.51,9.0,3.0,177.0,29.5,6,2.5216,0.2387,299.51
R_2zl2FPoC5r6TsM6,25,484.84,19.39,25.0,22.0,158.0,9.88,15,3.5133,4.3396,331.05
R_2znDusnDkfyOj3m,9,321.55,35.73,9.0,85.0,95.0,19.0,7,2.7255,0.8065,198.51000000000002
R_2zol9Fedci2Wv0e,10,431.28,43.13,10.0,18.0,162.0,23.14,7,2.6464,0.3927,659.98
R_2zptLG1N4t7aBbe,5,249.53,49.91,5.0,180.0,0.0,180.0,4,1.9219,0.0,238.87
R_2zubfTxgRkZA9w0,2,35.93,17.96,3.0,36.0,144.0,144.0,2,1.0,6.2586,27.98
R_2zvZKc3RU96nsC7,2,47.17,23.59,2.0,180.0,0.0,180.0,2,1.0,0.0,0.0
R_2zvyQAbu6BlFQnr,4,36.03,9.01,4.0,153.0,27.0,27.0,4,2.0,0.0,84.29
R_2zvyVVCgWFeImSg,18,185.95,10.33,18.0,38.0,142.0,12.91,9,2.9058,0.1205,395.79
R_2zx5hsFmHCVMOGL,5,124.18,24.84,5.0,12.0,168.0,56.0,4,1.9219,1.8893,90.19
R_2zx8WHXVF7bHyh3,18,431.39,23.97,21.0,7.0,173.0,24.71,13,3.5305,0.354,1589.96
R_2zzG1u6pYDToyGD,45,498.54,11.08,46.0,2.0,178.0,8.48,22,3.9114,0.5089,774.35
R_3006iqWvyrARyM5,5,69.95,13.99,5.0,135.0,45.0,45.0,5,2.3219,0.0,904.11
R_301MA8iy9GwvVOe,40,843.75,21.09,42.0,18.0,162.0,8.53,22,3.5719,0.6876,2049.41
R_301qJ8vhV7FSEct,22,391.74,17.81,24.0,40.0,140.0,8.24,15,3.7888,0.4783,0.0
R_301uq7vv7YTe7qQ,16,317.36,19.84,18.0,25.0,155.0,15.5,12,3.375,0.2947,407.71
R_302AcGuMBj1CfHU,24,561.66,23.4,24.0,8.0,172.0,13.23,20,4.2516,0.4182,732.27
R_305VVV56lf01p3o,3,355.44,118.48,3.0,4.0,176.0,88.0,3,1.585,0.0156,5.99
R_30608xSlGTOqDvx,12,277.5,23.12,13.0,51.0,129.0,25.8,11,3.4183,0.0611,109.14999999999999
R_307d5XTXx5NlkaJ,7,127.28,18.18,7.0,20.0,160.0,32.0,7,2.8074,0.6671,525.95
R_3093m6Spz9VzxAK,18,330.54,18.36,21.0,44.0,136.0,17.0,14,3.6144,0.3213,345.51
R_30c1vms6gPrbbL0,5,105.92,21.18,5.0,28.0,152.0,50.67,2,0.971,5.6408,43.96
R_30f0gTKJr78YCy4,37,763.3,20.63,37.0,6.0,174.0,11.6,32,4.9188,0.3625,560.3
R_30hR3b94UKIqg2m,3,32.53,10.84,3.0,155.0,25.0,25.0,3,1.585,0.0,0.0
R_30i8wBqfAJYMNTm,12,257.71,21.48,12.0,11.0,169.0,21.12,12,3.585,0.4489,327.90000000000003
R_30kPg5opkenrGPb,46,569.26,12.38,49.0,21.0,159.0,11.36,38,5.1429,0.9564,693.95
R_30kkZEiDILgMfhw,11,324.96,29.54,11.0,21.0,159.0,26.5,10,3.2776,0.2422,207.94
R_30kp7Wf9aTgpeIN,46,2018.54,43.88,47.0,6.0,174.0,6.96,37,5.1158,1.9647,1728.22
R_30pEbdralSJ73wd,1,11.43,11.43,1.0,180.0,0.0,180.0,1,-0.0,0.0,20.0
R_30pLPRle51eRImG,18,376.66,20.93,18.0,13.0,167.0,18.56,8,2.6688,0.8446,541.23
R_30qTlKzhdIqtgiz,16,380.92,23.81,17.0,72.0,108.0,21.6,7,2.4056,1.0266,1087.11
R_30tKJbqPUb129Xp,16,379.23,23.7,16.0,27.0,153.0,21.86,16,4.0,0.4982,637.79
R_30tLi6WqLJxToYS,6,259.15,43.19,6.0,21.0,159.0,31.8,5,2.2516,0.246,141.34
R_30uDhrRCQ3lqTNE,6,71.79,11.97,6.0,96.0,84.0,28.0,5,2.2516,0.0,70.81
R_30v4IsTwlZaxIiR,6,55.43,9.24,6.0,5.0,175.0,58.33,4,1.9183,4.4184,397.58
R_30v53X5idQpo8kP,10,402.56,40.26,10.0,7.0,173.0,21.62,9,3.1219,4.516,1154.3600000000001
R_31A7MK65zEMwnkX,15,224.04,14.94,15.0,11.0,169.0,24.14,14,3.7736,0.2722,387.28999999999996
R_31ADYMez64zKe2X,3,33.54,11.18,3.0,15.0,165.0,165.0,3,1.585,1.2375,121.57
R_31AjH2FjeqAWfhJ,5,69.83,13.97,5.0,103.0,77.0,25.67,5,2.3219,0.0,26.6
R_31EHJndIjqp0OfR,6,183.9,30.65,6.0,62.0,118.0,29.5,6,2.585,0.4374,448.78
R_31FBFlPtMYUheEy,10,112.07,11.21,10.0,9.0,171.0,42.75,4,1.571,1.8684,0.0
R_31FUiVVyxB6Pb8P,2,92.98,46.49,2.0,180.0,0.0,180.0,2,1.0,0.0,314.97
R_31GkUpaQZYLfUiX,12,329.08,27.42,14.0,49.0,131.0,14.56,10,3.1887,0.5271,136.75
R_31Gm2oRfrW02nxH,8,155.08,19.39,8.0,2.0,178.0,59.33,5,2.1556,1.8895,29.459999999999997
R_31H0ZuIQdkAa8US,2,25.98,12.99,2.0,47.0,133.0,133.0,2,1.0,0.4441,122.07
R_31H6YJSlzVQBcEQ,2,46.97,23.48,2.0,73.0,107.0,107.0,2,1.0,0.2698,87.62
R_31LAZHcaNHPvu3z,22,727.79,33.08,24.0,22.0,158.0,22.57,14,3.3501,0.4172,186.57999999999998
R_31LYkoXpSf1q0Ne,3,24.97,8.32,3.0,94.0,86.0,86.0,2,0.9183,0.0,221.79
R_31LyI2lVjeZ7OVi,29,428.97,14.79,29.0,15.0,165.0,23.57,2,0.4798,3.6032,257.96
R_31MM5x1bJX2MWTy,9,217.15,24.13,10.0,167.0,13.0,6.5,9,3.1699,0.0,351.59
R_31MddZPuw2VomsN,48,1518.97,31.65,52.0,2.0,178.0,6.59,25,4.2304,0.4802,615.91
R_31MkP4NtvpSj05l,37,514.2,13.9,37.0,6.0,174.0,7.57,25,4.4863,1.8392,856.62
R_31MoRcfEFe73eTY,19,421.22,22.17,19.0,1.0,179.0,22.38,15,3.7871,2.2066,116.73
R_31MyYMIGA4jTZAZ,1,5.7,5.7,1.0,180.0,0.0,180.0,1,-0.0,0.0,28.07
R_31N44qfBa7196dC,25,1366.81,54.67,25.0,5.0,175.0,19.44,19,4.0195,28.7197,668.51
R_31NUIACjGZLbQof,3,27.47,9.16,3.0,110.0,70.0,35.0,3,1.585,0.0,0.0
R_31QS1Ms6iQEU3mI,40,2387.42,59.69,45.0,27.0,153.0,13.91,33,4.9342,4.9225,1369.59
R_31SNC0DcyjBDcq3,50,900.76,18.02,54.0,1.0,179.0,8.52,37,4.9966,1.4436,586.34
R_31T8fMuMzphe1sL,34,1927.21,56.68,39.0,7.0,173.0,11.53,22,4.3372,3.6035,1623.47
R_31TT07OYtzrqP5L,2,22.46,11.23,2.0,77.0,103.0,103.0,2,1.0,3.3109,69.42
R_31TT1wA5qLC8jaX,3,37.73,12.58,3.0,48.0,132.0,132.0,3,1.585,0.4057,20.98
R_31WVVx6GX4RkBkW,2,43.97,21.98,2.0,165.0,15.0,15.0,2,1.0,0.0,0.0
R_31XAIkcT4o6ACp7,6,50.06,8.34,6.0,122.0,58.0,14.5,5,2.2516,0.0,875.85
R_31XTJUT1qHoBGRZ,22,348.75,15.85,23.0,15.0,165.0,16.5,12,3.1358,1.587,797.63
R_31XdA1XZzbQOlxU,15,709.7,47.31,15.0,14.0,166.0,15.09,12,3.4566,0.0628,294.23
R_31ZxYxyOSie94bK,141,1823.22,12.93,250.0,2.0,178.0,3.96,30,4.2093,0.6406,1382.4
R_31aclNgWw4mxrPd,14,229.26,16.38,14.0,40.0,140.0,20.0,10,3.2359,0.0541,104.75
R_31bj3K9VrF3xiPE,9,134.05,14.89,9.0,10.0,170.0,56.67,8,2.9477,0.2624,169.9
R_31crBZxAsgey3bN,4,17.54,4.38,4.0,36.0,144.0,144.0,4,2.0,3.8722,26.78
R_31g6yAJwsmIpVPR,14,293.3,20.95,14.0,31.0,149.0,49.67,11,3.3249,1.0622,366.3
R_31gUuqxSkTAfMPg,38,1090.7,28.7,38.0,89.0,91.0,7.58,26,4.5369,0.405,431.9
R_31hZPGWuIvYTHZ9,47,1114.49,23.71,49.0,22.0,158.0,8.78,35,4.849,1.0275,1373.4
R_31hpjsH6qTrIyHn,9,323.48,35.94,13.0,7.0,173.0,24.71,5,1.88,3.6251,591.15
R_31i2GAL8OJZdUqq,27,618.79,22.92,29.0,16.0,164.0,13.67,15,3.4397,0.7724,206.07999999999998
R_31ixLIfyf3xt0RM,24,521.96,21.75,24.0,6.0,174.0,11.6,17,3.8512,1.8197,727.85
R_31n2MLk9w05iLzN,26,420.57,16.18,26.0,1.0,179.0,8.95,19,3.9941,0.2382,982.9
R_31nNPxjCXdDYRGk,65,1312.4,20.19,74.0,6.0,174.0,7.25,26,4.1971,1.3571,1197.62
R_31ow00zD9f3PW6B,7,387.49,55.36,7.0,104.0,76.0,25.33,6,2.5216,0.0,0.0
R_31pjiIS2z0L0g9l,44,885.53,20.13,49.0,4.0,176.0,7.65,40,5.2605,1.1862,1095.99
R_31uVvT36jk3wlHm,5,83.3,16.66,5.0,25.0,155.0,38.75,4,1.9219,0.3442,82.7
R_31vHYfmUkFAL7sQ,3,73.26,24.42,8.0,24.0,156.0,78.0,3,1.585,3.6962,49.480000000000004
R_31yHIoibb7WLDGS,1,6.79,6.79,1.0,180.0,0.0,180.0,1,-0.0,0.0,200.73
R_31ycQ8SiOEF1cUN,27,1346.62,49.87,28.0,68.0,112.0,10.18,22,4.3845,0.0128,2295.0899999999997
R_322sl9lkckDZD5Y,2,71.73,35.87,2.0,104.0,76.0,76.0,2,1.0,0.0,240.67000000000002
R_322ypxoVpttDXD8,2,24.99,12.5,2.0,173.0,7.0,7.0,1,-0.0,0.0,0.0
R_322zF0kzv61DYRl,18,327.31,18.18,18.0,37.0,143.0,35.75,16,3.9477,0.9106,184.68
R_323eLlTqyrDLgr3,16,515.41,32.21,16.0,4.0,176.0,44.0,14,3.75,0.1382,338.49
R_325B8uB2XOflUvO,23,352.52,15.33,23.0,3.0,177.0,12.64,13,3.3773,0.7761,537.73
R_325wNEypLBLRTf7,45,1458.87,32.42,55.0,4.0,176.0,9.78,33,4.7027,0.7946,465.33
R_325wPQDFbzpv3zZ,25,736.26,29.45,27.0,2.0,178.0,12.71,21,4.2439,0.196,721.35
R_32JTTc2KQDDEb85,5,59.82,11.96,5.0,153.0,27.0,13.5,5,2.3219,0.0,0.0
R_32LAHRoBCbjkYZj,25,412.58,16.5,26.0,29.0,151.0,12.58,16,3.6235,0.8154,697.67
R_32LB3ZSknwfpFp4,25,575.55,23.02,25.0,2.0,178.0,9.37,23,4.4839,0.8853,845.8199999999999
R_32LYdapPvjP8C3O,9,350.19,38.91,10.0,15.0,165.0,20.62,6,2.4194,3.2401,311.5
R_32MgYCncUh7NkQE,45,1021.87,22.71,49.0,6.0,174.0,7.91,34,4.8329,0.3307,1050.28
R_32Mm71oAJq2K9XK,95,1763.39,18.56,98.0,3.0,177.0,5.9,54,5.3383,0.513,3333.0
R_32PFJILCpebqj2I,83,1821.64,21.95,85.0,4.0,176.0,4.09,50,5.2185,1.4964,2652.93
R_32QlciqXM5GfpTX,4,251.96,62.99,4.0,36.0,144.0,72.0,4,2.0,0.0202,52.99
R_32R69KRWIzuH9Im,12,368.23,30.69,12.0,47.0,133.0,26.6,11,3.4183,0.0928,744.8
R_32RSCpvF0PqDFBp,41,887.18,21.64,44.0,26.0,154.0,6.16,23,4.0579,0.1425,828.1800000000001
R_32UZncFA03IrQwQ,157,3466.71,22.08,176.0,2.0,178.0,3.49,101,6.2043,0.4608,4229.86
R_32VcKmw1biSyknq,68,1009.91,14.85,69.0,5.0,175.0,19.44,47,5.2784,0.7464,1078.48
R_32VlHVeRo7xTWsZ,3,27.12,9.04,3.0,20.0,160.0,80.0,3,1.585,3.4314,0.0
R_32WrYe9Z7XWF8FL,62,1419.77,22.9,65.0,11.0,169.0,5.63,42,5.1636,1.1057,999.79
R_32Wsk7ziaut6JrW,23,391.56,17.02,23.0,22.0,158.0,11.29,17,3.7623,0.1682,246.76
R_32WvdLjYpicai6o,33,663.47,20.11,35.0,2.0,178.0,9.37,22,4.2862,1.7679,350.2
R_32XC8AoellfuKcc,18,422.17,23.45,18.0,14.0,166.0,18.44,9,2.3244,0.5689,237.0
R_32XV91fRt8ME5SE,11,303.96,27.63,11.0,2.0,178.0,25.43,3,0.8659,0.7989,85.21000000000001
R_3315jeTD7rOEiLV,14,305.67,21.83,14.0,11.0,169.0,15.36,13,3.6645,0.7947,418.11
R_331IZVCzZJ6jtKT,1,19.0,19.0,1.0,180.0,0.0,180.0,1,-0.0,0.0,35.89
R_331r8PPvTyqKSoh,13,771.81,59.37,13.0,18.0,162.0,23.14,11,3.3347,0.1275,446.54
R_3339NQMzeTisk3b,9,219.45,24.38,9.0,3.0,177.0,25.29,7,2.7255,0.1551,162.46
R_333cPUAJRgYXqi1,65,1079.75,16.61,66.0,10.0,170.0,7.39,40,4.9515,0.3738,850.8199999999999
R_336WhTDSFkAvY2i,10,345.77,34.58,13.0,74.0,106.0,15.14,8,2.8464,0.0678,551.1800000000001
R_337tSdhyvzT1Fhc,11,379.08,34.46,11.0,27.0,153.0,30.6,8,2.8454,0.6105,77.97
R_338AsE7QedeQ72w,49,696.89,14.22,53.0,7.0,173.0,7.86,37,5.0379,1.2263,578.3199999999999
R_339iXVPjwR19zGl,2,22.64,11.32,2.0,180.0,0.0,180.0,1,-0.0,0.0,132.18
R_33CMoshOPscuZoK,3,27.47,9.16,3.0,180.0,0.0,180.0,3,1.585,0.0,34.82
R_33D74iAbniyvdKD,9,204.01,22.67,9.0,70.0,110.0,36.67,2,0.5033,0.4048,149.26
R_33DpUkKukzoZhXa,11,188.31,17.12,11.0,45.0,135.0,22.5,10,3.2776,0.2575,96.80000000000001
R_33Dw8oXaXrUFCue,3,27.57,9.19,3.0,180.0,0.0,180.0,3,1.585,0.0,0.0
R_33El0GX9AkXCVDU,16,269.58,16.85,16.0,1.0,179.0,17.9,14,3.75,0.5697,607.51
R_33a2eGfoj5xSrE2,35,598.99,17.11,35.0,11.0,169.0,9.39,21,4.022,0.8772,673.06
R_33a4MA36qbvE9o4,10,137.86,13.79,10.0,29.0,151.0,37.75,6,2.3219,0.2545,280.28
R_33akCFp4vDEVENx,7,110.63,15.8,7.0,9.0,171.0,28.5,6,2.5216,5.2327,177.91
R_33atELTxJdUP4T3,3,43.76,14.59,3.0,122.0,58.0,29.0,3,1.585,0.0,8.88
R_33d7M6Nr0oXVk6w,72,1187.31,16.49,77.0,3.0,177.0,9.83,44,5.1413,1.4742,1745.5
R_33dqPtsX8lDC3nH,1,15.91,15.91,1.0,180.0,0.0,180.0,1,-0.0,0.0,18.939999999999998
R_33dxSOlpYwYOjFE,34,630.13,18.53,35.0,5.0,175.0,9.21,16,3.5605,1.4836,966.4300000000001
R_33e7mSbpjZVKW82,5,80.97,16.19,5.0,112.0,68.0,22.67,3,1.371,0.0,96.36
R_33efXSVVGfbtXGm,16,467.89,29.24,16.0,1.0,179.0,25.57,14,3.7028,0.2604,329.41
R_33fh0DWssIsKwpU,7,324.17,46.31,7.0,90.0,90.0,45.0,7,2.8074,1.3963,463.72
R_33fmWkZdbFSdAqe,18,311.87,17.33,18.0,26.0,154.0,25.67,16,3.9058,0.318,349.55
R_33gqD4zbwgtDhQC,102,3185.8,31.23,113.0,8.0,172.0,4.2,50,5.0669,0.8831,799.2
R_33gtHIhwfU2ZloY,14,251.54,17.97,16.0,30.0,150.0,21.43,14,3.8074,0.1005,153.39
R_33jcUkAZ8knoq82,75,1359.55,18.13,109.0,11.0,169.0,13.0,46,5.1752,1.1962,2160.8
R_33kXOnRQaZX4laR,1,41.62,41.62,1.0,180.0,0.0,180.0,1,-0.0,0.0,155.59
R_33kcOqAkuOfPeI1,35,852.38,24.35,38.0,37.0,143.0,10.21,20,4.0227,0.2272,654.39
R_33kfPoabdOCxwub,8,477.04,59.63,8.0,8.0,172.0,86.0,8,3.0,26.2594,1200.95
R_33lsJEmPv7wPank,8,75.41,9.43,9.0,66.0,114.0,57.0,6,2.4056,0.0954,67.73
R_33m7KkdGBd1FBPD,3,61.32,20.44,3.0,152.0,28.0,28.0,3,1.585,0.0,34.43
R_33peF2pSQ188ZAJ,1,10.99,10.99,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_33qcWNizw7jG3fK,4,81.96,20.49,4.0,111.0,69.0,34.5,4,2.0,0.0,0.0
R_33wIkzVNIsCTsW7,16,269.74,16.86,16.0,14.0,166.0,33.2,15,3.875,7.8555,118.11
R_33xxVtjHgiJnNli,22,454.98,20.68,22.0,9.0,171.0,10.69,16,3.8454,1.5731,431.05
R_33yyu45asYf9lJ3,1,59.99,59.99,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_39HhVszlqdawZPP,66,829.19,12.56,66.0,34.0,146.0,4.42,45,4.9397,1.0508,1618.2
R_39P0jt8uXhs48lb,16,371.34,23.21,16.0,8.0,172.0,28.67,12,3.4528,1.015,632.44
R_3BOSxrIzMJ4BpSh,28,468.42,16.73,29.0,9.0,171.0,12.21,16,3.6055,0.92,205.17999999999998
R_3C9mWQweEu6HA2J,34,772.62,22.72,35.0,27.0,153.0,13.91,23,4.315,4.2595,934.55
R_3CATeNn9pwYX3bv,22,406.48,18.48,22.0,2.0,178.0,17.8,19,4.1524,20.9838,2645.01
R_3CBjLbyUvLMsiJP,13,94.72,7.29,13.0,30.0,150.0,30.0,10,3.1808,1.1124,625.12
R_3CD6TeMBrOUiEmu,1,12.68,12.68,1.0,180.0,0.0,180.0,1,-0.0,0.0,200.74
R_3CH1YiBOUKEpwDw,15,81.47,5.43,15.0,24.0,156.0,22.29,4,1.2366,0.3406,22.41
R_3CIrjNnjZFOVvWu,69,1165.39,16.89,69.0,18.0,162.0,20.25,46,5.2094,0.4444,404.01
R_3CKmnc9zwNPauw5,28,528.96,18.89,28.0,3.0,177.0,12.64,23,4.3788,1.8346,457.87
R_3CKteaN7MrzuI42,3,40.43,13.48,3.0,26.0,154.0,77.0,3,1.585,5.2488,51.730000000000004
R_3COt7hTo2LLI6He,9,170.34,18.93,10.0,110.0,70.0,23.33,8,2.9477,0.0,105.8
R_3CPK4Ao6WTnMD7n,26,784.23,30.16,28.0,7.0,173.0,11.53,17,3.5262,1.1502,1025.67
R_3CTPkeduw6soOUM,11,244.31,22.21,11.0,30.0,150.0,21.43,8,2.8454,1.8114,105.44
R_3CTqIaRKgDuGP1L,2,18.94,9.47,2.0,180.0,0.0,180.0,2,1.0,0.0,0.0
R_3CUBiXKNjzw5DhV,4,131.92,32.98,4.0,93.0,87.0,29.0,4,2.0,0.0,29.979999999999997
R_3CUfonTy5lAHkv2,47,1138.72,24.23,50.0,12.0,168.0,7.3,34,4.852,1.6156,1096.12
R_3CVMAH13SNAWjLZ,33,438.37,13.28,33.0,26.0,154.0,9.62,27,4.5138,1.0719,949.24
R_3CZ8DrIEalrYlgu,35,731.84,20.91,35.0,10.0,170.0,9.44,23,4.225,0.6893,339.3
R_3CZ8EscoSE4qqLu,5,54.1,10.82,6.0,33.0,147.0,147.0,5,2.3219,0.4574,452.11
R_3CZBHYSzEZSu8yb,4,78.06,19.52,4.0,164.0,16.0,16.0,4,2.0,0.0,61.5
R_3Cz2YHvu6adMgQp,11,149.98,13.63,12.0,10.0,170.0,42.5,9,3.0958,1.6326,883.68
R_3D0FIkesMnTGsnm,53,931.45,17.57,54.0,1.0,179.0,5.42,39,4.9732,0.7382,1053.64
R_3D1OqGz1QgTobzj,14,263.08,18.79,14.0,25.0,155.0,38.75,10,3.2359,0.4461,0.0
R_3D624pTJqKkE6ko,34,399.08,11.74,34.0,10.0,170.0,14.17,10,1.8876,0.1836,454.61
R_3D7xJuXSy25PXbg,40,1609.94,40.25,46.0,6.0,174.0,6.96,27,4.4429,0.6954,1434.77
R_3D8fwycJF7eksBo,55,1446.07,26.29,60.0,6.0,174.0,7.25,32,4.6627,0.9106,1457.54
R_3D8iU1uWpKiBsrI,13,506.95,39.0,13.0,10.0,170.0,24.29,11,3.3347,1.4818,505.89
R_3D8tZyjLz903WIf,16,523.37,32.71,18.0,49.0,131.0,18.71,12,3.5,2.7472,250.58
R_3DTHzBWuB6iePzb,13,356.92,27.46,13.0,19.0,161.0,32.2,11,3.3927,0.5257,300.51
R_3Dbw2bzDMkmC4Kt,33,1127.16,34.16,34.0,14.0,166.0,6.64,22,4.2108,0.4299,697.98
R_3DdKCo2XOGU4KOT,9,117.78,13.09,9.0,43.0,137.0,34.25,9,3.1699,0.3713,175.39
R_3DdbPgFadLDrK7U,56,1464.92,26.16,57.0,2.0,178.0,5.24,22,3.8513,1.3564,1027.47
R_3Ddx3PF1GsBUbzX,119,7061.07,59.34,286.0,1.0,179.0,3.03,50,4.8571,0.8296,3834.36
R_3DdxQK745EEWMzm,6,297.47,49.58,7.0,20.0,160.0,53.33,6,2.585,0.6619,146.97
R_3Dh96T8BVc7DG0Q,1,50.0,50.0,1.0,180.0,0.0,180.0,1,-0.0,0.0,0.0
R_3DkfpeA5lhL0kXq,9,259.87,28.87,9.0,25.0,155.0,25.83,8,2.9477,3.0035,1233.55
R_3DkircP5jOIPPz3,10,314.85,31.48,10.0,38.0,142.0,47.33,7,2.5219,0.1886,644.77
R_3Dkj7WCrUKoBPHe,15,218.79,14.59,16.0,2.0,178.0,59.33,11,3.2402,2.1722,86.12
R_3DkmDzFowAbQ5vl,41,1105.57,26.97,43.0,5.0,175.0,8.75,28,4.5498,24.2356,425.92
R_3DpwSHZQO8nhZy6,5,88.87,17.77,5.0,162.0,18.0,6.0,5,2.3219,0.0,110.92
R_3DqB7pyNczSugtj,28,536.0,19.14,29.0,60.0,120.0,9.23,20,4.155,0.1783,377.03000000000003
R_3DqnvnWvqgEZVbO,28,632.2,22.58,28.0,20.0,160.0,11.43,22,4.2499,0.4252,345.52
R_3DteNZbN9pZ6q6A,33,875.0,26.52,33.0,2.0,178.0,12.71,32,4.9838,1.849,340.2
